lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
44.3391374,-76.1692259,2,Charles Street North (093),a,Charles Street North,32,11393844,221446093,Gananoque,132393
44.3391374,-76.1692259,2,James A. Brennan Road (894),a,James A. Brennan Road,8,22071883,513345894,Gananoque,132393
44.3391549,-76.1703419,2,Alberta Street (630),a,Alberta Street,5,11393879,408548630,Gananoque,132393
44.3392251,-76.1691428,2,James A. Brennan Road (900),a,James A. Brennan Road,8,22071883,513345900,Gananoque,132393
44.339228,-76.1697002,2,Charles Street North (096),a,Charles Street North,32,11393844,221446096,Gananoque,132393
44.339228,-76.1697002,2,Alberta Street (229),a,Alberta Street,5,11393879,221449229,Gananoque,132393
44.339228,-76.1697002,2,Stone Street North (720),a,Stone Street North,24,11393913,221451720,Gananoque,132393
44.3392323,-76.1696665,2,Charles Street North (095),a,Charles Street North,32,11393844,221446095,Gananoque,132393
44.3392323,-76.1695729,2,Charles Street North (094),a,Charles Street North,32,11393844,221446094,Gananoque,132393
44.3394848,-76.1688968,2,James A. Brennan Road (901),a,James A. Brennan Road,8,22071883,513345901,Gananoque,132393
44.3412191,-76.1672541,2,James A. Brennan Road (895),a,James A. Brennan Road,8,22071883,513345895,Gananoque,132393
44.3413747,-76.1714758,2,Queen Street (310),a,Queen Street,9,11393881,221449310,Gananoque,132393
44.3414119,-76.1669427,2,James A. Brennan Road (896),a,James A. Brennan Road,8,22071883,513345896,Gananoque,132393
44.3415047,-76.1665048,2,James A. Brennan Road (897),a,James A. Brennan Road,8,22071883,513345897,Gananoque,132393
44.3417117,-76.1653056,2,James A. Brennan Road (899),a,James A. Brennan Road,8,22071883,513345899,Gananoque,132393
44.3417395,-76.1651737,2,James A. Brennan Road (898),a,James A. Brennan Road,8,22071883,513345898,Gananoque,132393
